income_group,region,poverty_ratio
Upper middle income,Sub-Saharan Africa ,3.8
Low income,Sub-Saharan Africa ,55.2
Low income,Sub-Saharan Africa ,34.2
Low income,Sub-Saharan Africa ,17.1
Low income,Sub-Saharan Africa ,22.0
Upper middle income,Europe & Central Asia,22.3
Upper middle income,Europe & Central Asia,22.3
Upper middle income,Europe & Central Asia,20.9
Upper middle income,Europe & Central Asia,22.3
Upper middle income,Europe & Central Asia,22.5
Upper middle income,Europe & Central Asia,23.9
Upper middle income,Europe & Central Asia,21.7
Upper middle income,Europe & Central Asia,21.1
Upper middle income,Europe & Central Asia,23.6
Upper middle income,Europe & Central Asia,21.6
Upper middle income,Europe & Central Asia,18.8
Upper middle income,Europe & Central Asia,14.9
Upper middle income,Europe & Central Asia,12.0
Upper middle income,Europe & Central Asia,10.6
Upper middle income,Europe & Central Asia,10.5
Upper middle income,Europe & Central Asia,11.1
Upper middle income,Europe & Central Asia,11.0
Upper middle income,Europe & Central Asia,9.7
Upper middle income,Europe & Central Asia,12.0
Upper middle income,Europe & Central Asia,10.8
Upper middle income,Europe & Central Asia,7.7
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.7
Lower middle income,Sub-Saharan Africa ,60.9
Lower middle income,Sub-Saharan Africa ,41.8
Lower middle income,Sub-Saharan Africa ,39.0
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.9
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,0.4
High income,Europe & Central Asia,0.6
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,1.5
High income,Europe & Central Asia,2.1
High income,Europe & Central Asia,1.5
High income,Europe & Central Asia,2.0
High income,Europe & Central Asia,2.0
High income,Europe & Central Asia,1.4
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.1
High income,Europe & Central Asia,0.7
High income,Europe & Central Asia,0.6
Upper middle income,Latin America & Caribbean ,0.8
Upper middle income,Latin America & Caribbean ,10.5
Upper middle income,Latin America & Caribbean ,8.0
Lower middle income,Sub-Saharan Africa ,50.3
Lower middle income,Sub-Saharan Africa ,44.0
Lower middle income,Sub-Saharan Africa ,21.3
Lower middle income,Sub-Saharan Africa ,11.7
Low income,Sub-Saharan Africa ,68.2
Low income,Sub-Saharan Africa ,75.7
Low income,Sub-Saharan Africa ,37.1
Low income,Sub-Saharan Africa ,39.9
Lower middle income,Latin America & Caribbean ,40.4
Lower middle income,Latin America & Caribbean ,29.0
Lower middle income,Latin America & Caribbean ,34.0
Lower middle income,Latin America & Caribbean ,33.3
Lower middle income,Latin America & Caribbean ,31.3
Lower middle income,Latin America & Caribbean ,27.3
Lower middle income,Latin America & Caribbean ,22.0
Lower middle income,Latin America & Caribbean ,20.9
Lower middle income,Latin America & Caribbean ,18.1
Lower middle income,Latin America & Caribbean ,19.6
Lower middle income,Latin America & Caribbean ,20.1
Lower middle income,Latin America & Caribbean ,24.0
Lower middle income,Latin America & Caribbean ,20.8
Lower middle income,Latin America & Caribbean ,20.6
Lower middle income,Latin America & Caribbean ,19.9
Lower middle income,Latin America & Caribbean ,19.8
Lower middle income,Latin America & Caribbean ,19.3
Lower middle income,Latin America & Caribbean ,19.8
Lower middle income,Latin America & Caribbean ,18.8
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,0.5
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.0
High income,Europe & Central Asia,1.6
High income,Europe & Central Asia,0.9
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.2
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.1
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.0
High income,Europe & Central Asia,0.3
High income,Europe & Central Asia,0.1
Lower middle income,South Asia,46.4
Lower middle income,South Asia,34.6
Lower middle income,South Asia,27.1
Lower middle income,South Asia,5.3
Upper middle income,East Asia & Pacific,46.8
Upper middle income,East Asia & Pacific,45.5
Upper middle income,East Asia & Pacific,45.4
Upper middle income,East Asia & Pacific,41.1
Upper middle income,East Asia & Pacific,46.8
Upper middle income,East Asia & Pacific,41.1
Upper middle income,East Asia & Pacific,38.0
Upper middle income,East Asia & Pacific,37.9
Upper middle income,East Asia & Pacific,34.1
Upper middle income,East Asia & Pacific,31.2
Upper middle income,East Asia & Pacific,26.6
Upper middle income,East Asia & Pacific,27.2
Upper middle income,East Asia & Pacific,25.7
Upper middle income,East Asia & Pacific,21.6
Upper middle income,East Asia & Pacific,18.0
Upper middle income,East Asia & Pacific,14.8
Upper middle income,East Asia & Pacific,12.5
Upper middle income,East Asia & Pacific,10.9
Upper middle income,East Asia & Pacific,9.8
